palabra,tema_id,sub_id,rol,participation,z_within_degree,grado_total
davila,4,8,periferico,0.4444,0.0,3
vicky,4,8,broker,0.7347,1.4142,7
senora,4,13,broker,0.9163,1.4142,75
tierra,4,9,broker,0.9031,1.6036,52
manto,4,0,periferico,0.2449,0.4611,7
santo,4,0,broker,0.8432,1.1783,26
lider,4,1,broker,0.8962,2.058,40
camino,4,0,broker,0.8926,0.8197,37
cruz,4,2,broker,0.8516,1.4142,16
sanchez,4,2,broker,0.7811,2.1213,13
llamado,4,11,broker,0.8993,0.8367,24
empresario,4,5,broker,0.8571,1.796,21
personaje,4,10,broker,0.8642,1.4969,18
matutino,4,2,periferico,0.0,0.0,2
vespertino,4,2,periferico,0.0,0.7071,3
reina,4,9,broker,0.76,0.2673,10
banda,4,4,broker,0.8889,1.4837,21
presidencial,4,4,broker,0.7407,0.937,9
gato,4,5,broker,0.8889,0.3904,18
roja,4,2,periferico,0.0,0.0,2
extorsion,4,1,broker,0.875,0.0,20
secuestro,4,1,broker,0.8698,0.0,19
turno,4,2,broker,0.7778,0.0,6
regalar,4,0,broker,0.7851,1.5369,22
michoacan,4,1,broker,0.831,1.029,19
chico,4,3,broker,0.7653,1.291,14
talla,4,3,periferico,0.0,0.4303,4
acaso,4,11,broker,0.8639,0.0,13
correcto,4,3,broker,0.8757,-0.4303,13
preferir,4,10,broker,0.8876,-0.4082,13
tranquilo,4,3,broker,0.8225,2.1517,26
balacera,4,3,broker,0.8,-0.8607,5
violento,4,5,broker,0.7778,-1.0151,6
denunciar,4,12,broker,0.8896,0.0,25
diferencia,4,5,broker,0.8642,1.0932,18
considerar,4,6,broker,0.7347,0.4423,7
fuego,4,12,broker,0.8521,1.118,13
admirar,4,6,broker,0.84,2.0642,10
narcotraficante,4,4,broker,0.8148,0.3904,9
castro,4,2,broker,0.7778,0.0,6
apellido,4,8,broker,0.75,-1.4142,4
sinaloa,4,1,broker,0.8099,0.0,11
operar,4,4,broker,0.8028,2.0303,17
presa,4,11,broker,0.8595,0.0,11
candidata,4,4,broker,0.8148,0.3904,9
espiritual,4,0,broker,0.625,-0.9734,4
colombiano,4,11,broker,0.8594,1.6733,16
contigo,4,0,broker,0.6875,-0.2562,8
soldado,4,4,broker,0.88,-0.7028,15
cobro,4,1,broker,0.872,0.0,17
portar,4,9,broker,0.7812,0.2673,8
bendita,4,13,broker,0.72,-1.4142,5
aprox,4,3,broker,0.56,0.0,5
templo,4,0,broker,0.6122,-0.2562,7
mami,4,6,broker,0.6667,0.4423,3
secuestrador,4,4,broker,0.7222,-0.7028,6
cjng,4,1,broker,0.7755,-1.029,7
panista,4,10,broker,0.8367,0.5443,14
despido,4,5,broker,0.56,0.3904,5
sangre,4,12,broker,0.8622,1.118,15
intervencion,4,5,broker,0.88,0.3904,15
auxilio,4,7,broker,0.625,-1.0,4
amigable,4,3,periferico,0.0,0.0,3
amable,4,3,broker,0.72,-0.4303,5
dirigir,4,1,broker,0.7812,-0.5145,8
mafioso,4,4,broker,0.7917,0.937,12
pollo,4,10,broker,0.8125,0.5443,8
mirada,4,4,periferico,0.0,-1.2494,1
curul,4,0,periferico,0.0,-0.9734,2
santos,4,0,periferico,0.32,-0.2562,5
monte,4,6,broker,0.6667,-1.1795,3
diosa,4,0,periferico,0.4444,-0.9734,3
quizas,4,10,broker,0.8125,0.5443,8
arreglado,4,5,broker,0.5,-1.0151,2
subida,4,5,broker,0.6667,-1.0151,3
gay,4,6,broker,0.6667,-1.1795,3
asumir,4,9,broker,0.7755,-1.069,7
atreveir,4,9,broker,0.625,-1.069,4
rincon,4,2,broker,0.5,-1.4142,2
ardar,4,10,broker,0.75,-1.3608,4
