node_id,tipo_nodo,etiqueta,categoria_principal,confianza_categoria,categorias,polaridad,polaridad_score,postura,postura_etiqueta,postura_score,coincidencias_positivas,coincidencias_negativas,peso_coincidente
A929,cuenta,YouTube::@josepablosoto9996,Delitos,0.8977,Delitos | Prevencion,mixta,0.0,mixta_disputa,Mixta/disputa,0.0,1.0,1.0,5.0
A930,cuenta,YouTube::@BlancaGuzman-v3i,Delitos,0.9698,Delitos | Morena | Corrupcion,negativa,-1.0,critica_oposicion,Crítica/oposición,-1.0,0.0,9.0,17.0
A931,cuenta,Twitter::thecliniccl,Prevencion,1.0,Prevencion,mixta,0.1429,mixta_disputa,Mixta/disputa,0.1429,4.0,3.0,8.0
A932,cuenta,Twitter::Beth_pamila,Corrupcion,0.7685,Corrupcion | Delitos,positiva,0.5,apoyo_defensa,Apoyo/defensa,0.5,3.0,1.0,5.0
A933,cuenta,Twitter::Boca2007AC,Vialidad,0.7545,Vialidad,negativa,-1.0,critica_oposicion,Crítica/oposición,-1.0,0.0,1.0,2.0
A934,cuenta,Twitter::Canal22,Morena,1.0,Morena | Vialidad | Delitos | Americo,negativa,-0.3333,critica_oposicion,Crítica/oposición,-0.3333,1.0,2.0,9.0
A935,cuenta,Twitter::SebastianRochaZ,,0.0,,positiva,0.6,apoyo_defensa,Apoyo/defensa,0.6,4.0,1.0,5.0
A936,cuenta,Twitter::SCfemenino,Obras,0.7765,Obras,positiva,0.6667,apoyo_defensa,Apoyo/defensa,0.6667,5.0,1.0,6.0
A937,cuenta,YouTube::@abelchaydez8677,Basura,0.8797,Basura | Morena | Corrupcion,mixta,-0.0909,mixta_disputa,Mixta/disputa,-0.0909,5.0,6.0,15.0
A938,cuenta,Twitter::HermandadPaz,,0.0,,positiva,0.3333,apoyo_defensa,Apoyo/defensa,0.3333,4.0,2.0,6.0
A939,cuenta,Twitter::ensustrece,Obras,1.0,Obras,mixta,0.0,mixta_disputa,Mixta/disputa,0.0,1.0,1.0,3.0
A940,cuenta,Twitter::sepulvedamon,Corrupcion,0.7596,Corrupcion,negativa,-1.0,critica_oposicion,Crítica/oposición,-1.0,0.0,3.0,4.0
A941,cuenta,YouTube::@DespiertaMexicoLibre,Prevencion,0.8979,Prevencion | Corrupcion | Delitos,negativa,-0.2,critica_oposicion,Crítica/oposición,-0.2,4.0,6.0,13.0
A942,cuenta,YouTube::@floydberthanichols6711,,0.0,,neutral,0.0,sin_postura,Sin postura,0.0,0.0,0.0,0.0
A943,cuenta,YouTube::@hmr7218,,0.0,,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,2.0,0.0,2.0
A944,cuenta,Twitter::patricionavia,Americo,0.9252,Americo,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,2.0,0.0,3.0
A945,cuenta,YouTube::@antonioaguirre3738,Morena,1.0,Morena,negativa,-0.6667,critica_oposicion,Crítica/oposición,-0.6667,1.0,5.0,10.0
A946,cuenta,Twitter::maggyvilla81,,0.0,,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,1.0,0.0,1.0
A947,cuenta,Twitter::eldesconcierto,Corrupcion,0.6145,Corrupcion,negativa,-1.0,critica_oposicion,Crítica/oposición,-1.0,0.0,6.0,7.0
A948,cuenta,YouTube::@Chitosito-vk3ok,Corrupcion,0.9097,Corrupcion | Delitos,negativa,-1.0,critica_oposicion,Crítica/oposición,-1.0,0.0,5.0,5.0
A949,cuenta,Twitter::@Libro_negro_,Vialidad,0.9107,Vialidad | Delitos | Obras,negativa,-0.6,critica_oposicion,Crítica/oposición,-0.6,1.0,4.0,7.0
A950,cuenta,Twitter::@antenanoticias,Vialidad,0.794,Vialidad,negativa,-1.0,critica_oposicion,Crítica/oposición,-1.0,0.0,1.0,3.0
A951,cuenta,YouTube::@KarinaGarcia-lh1yu,,0.0,,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,7.0,0.0,7.0
