usuario,plataforma,n_msgs,n_palabras,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T20,T21,T22,T23,T24,T25,T00_pct,T01_pct,T02_pct,T03_pct,T04_pct,T05_pct,T06_pct,T07_pct,T08_pct,T09_pct,T10_pct,T11_pct,T12_pct,T13_pct,T14_pct,T15_pct,T16_pct,T17_pct,T18_pct,T20_pct,T21_pct,T22_pct,T23_pct,T24_pct,T25_pct,tema_dominante,peso_dominante
Instagram::metrotampico,Instagram,3,110,0,13,7,1,1,8,1,1,0,2,0,16,2,5,5,3,7,2,1,24,2,2,6,1,0,0.0,11.8,6.4,0.9,0.9,7.3,0.9,0.9,0.0,1.8,0.0,14.5,1.8,4.5,4.5,2.7,6.4,1.8,0.9,21.8,1.8,1.8,5.5,0.9,0.0,T20,24
Instagram::monicavtampico,Instagram,6,169,4,23,17,4,1,12,0,1,1,12,4,6,3,10,6,7,9,8,4,2,2,1,30,1,1,2.4,13.6,10.1,2.4,0.6,7.1,0.0,0.6,0.6,7.1,2.4,3.6,1.8,5.9,3.6,4.1,5.3,4.7,2.4,1.2,1.2,0.6,17.8,0.6,0.6,T23,30
Instagram::ocarfuentw,Instagram,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T01,1
Instagram::ocejo.sergio,Instagram,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T04,2
Instagram::prevencion.delito_tampico,Instagram,1,30,0,0,4,1,0,3,0,0,0,1,0,2,0,0,1,1,5,0,1,4,7,0,0,0,0,0.0,0.0,13.3,3.3,0.0,10.0,0.0,0.0,0.0,3.3,0.0,6.7,0.0,0.0,3.3,3.3,16.7,0.0,3.3,13.3,23.3,0.0,0.0,0.0,0.0,T21,7
Instagram::tampico.noticias,Instagram,1,20,0,0,2,0,1,0,0,4,0,1,2,0,4,1,0,0,0,0,0,0,0,0,0,5,0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,20.0,0.0,5.0,10.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,T24,5
Instagram::turismotampico,Instagram,3,47,0,9,6,1,1,4,1,0,1,5,0,5,4,2,3,0,0,0,0,0,2,0,3,0,0,0.0,19.1,12.8,2.1,2.1,8.5,2.1,0.0,2.1,10.6,0.0,10.6,8.5,4.3,6.4,0.0,0.0,0.0,0.0,0.0,4.3,0.0,6.4,0.0,0.0,T01,9
Medios::El Sol de México,Medios,57,1111,11,22,146,8,68,36,19,29,25,37,44,27,109,19,30,34,13,34,4,27,18,10,27,218,96,1.0,2.0,13.1,0.7,6.1,3.2,1.7,2.6,2.3,3.3,4.0,2.4,9.8,1.7,2.7,3.1,1.2,3.1,0.4,2.4,1.6,0.9,2.4,19.6,8.6,T24,218
Medios::Milenio,Medios,54,2773,66,54,92,163,175,98,236,94,111,101,138,173,91,125,171,141,39,209,53,51,96,113,53,73,57,2.4,1.9,3.3,5.9,6.3,3.5,8.5,3.4,4.0,3.6,5.0,6.2,3.3,4.5,6.2,5.1,1.4,7.5,1.9,1.8,3.5,4.1,1.9,2.6,2.1,T06,236
TikTok::info7tamps,TikTok,1,25,0,0,3,0,5,4,1,0,1,0,0,0,0,2,2,0,0,2,1,0,2,2,0,0,0,0.0,0.0,12.0,0.0,20.0,16.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,8.0,4.0,0.0,8.0,8.0,0.0,0.0,0.0,T04,5
TikTok::israelponceporstreaming,TikTok,2,15,1,0,2,0,0,1,0,0,0,1,0,1,0,1,0,0,5,3,0,0,0,0,0,0,0,6.7,0.0,13.3,0.0,0.0,6.7,0.0,0.0,0.0,6.7,0.0,6.7,0.0,6.7,0.0,0.0,33.3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T16,5
TikTok::monicavtampico,TikTok,2,48,1,6,4,3,1,8,0,0,1,4,1,3,1,2,3,1,1,5,2,0,0,0,1,0,0,2.1,12.5,8.3,6.2,2.1,16.7,0.0,0.0,2.1,8.3,2.1,6.2,2.1,4.2,6.2,2.1,2.1,10.4,4.2,0.0,0.0,0.0,2.1,0.0,0.0,T05,8
TikTok::prevenciondelitotampico,TikTok,1,27,0,3,4,1,0,2,0,1,0,1,0,0,0,1,1,1,5,2,0,2,1,0,2,0,0,0.0,11.1,14.8,3.7,0.0,7.4,0.0,3.7,0.0,3.7,0.0,0.0,0.0,3.7,3.7,3.7,18.5,7.4,0.0,7.4,3.7,0.0,7.4,0.0,0.0,T16,5
Twitter::@EleeseNoticias,Twitter,2,24,0,1,1,0,2,1,0,0,0,3,0,1,0,0,1,0,6,1,0,0,2,1,4,0,0,0.0,4.2,4.2,0.0,8.3,4.2,0.0,0.0,0.0,12.5,0.0,4.2,0.0,0.0,4.2,0.0,25.0,4.2,0.0,0.0,8.3,4.2,16.7,0.0,0.0,T16,6
Twitter::@MonicaVTampico,Twitter,3,36,0,0,2,1,1,1,0,0,0,0,0,2,1,10,4,0,1,1,6,0,1,2,2,1,0,0.0,0.0,5.6,2.8,2.8,2.8,0.0,0.0,0.0,0.0,0.0,5.6,2.8,27.8,11.1,0.0,2.8,2.8,16.7,0.0,2.8,5.6,5.6,2.8,0.0,T13,10
Twitter::@Omusubidon3456,Twitter,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T02,1
Twitter::@RevistaDebateMX,Twitter,2,13,0,0,3,0,1,1,0,0,0,0,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0.0,0.0,23.1,0.0,7.7,7.7,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,7.7,7.7,23.1,7.7,0.0,0.0,7.7,0.0,0.0,0.0,0.0,T02,3
Twitter::@VoxPopuliNoti,Twitter,3,43,2,2,6,0,3,2,0,0,0,4,0,3,0,0,0,0,11,4,0,0,0,0,6,0,0,4.7,4.7,14.0,0.0,7.0,4.7,0.0,0.0,0.0,9.3,0.0,7.0,0.0,0.0,0.0,0.0,25.6,9.3,0.0,0.0,0.0,0.0,14.0,0.0,0.0,T16,11
Twitter::@gruponoticiaspc,Twitter,3,45,0,0,4,0,0,4,0,0,1,1,1,2,1,0,0,1,14,1,0,2,0,1,12,0,0,0.0,0.0,8.9,0.0,0.0,8.9,0.0,0.0,2.2,2.2,2.2,4.4,2.2,0.0,0.0,2.2,31.1,2.2,0.0,4.4,0.0,2.2,26.7,0.0,0.0,T16,14
Twitter::@hitmancenteno,Twitter,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,T07,1
YouTube::@1nsaneHdzG1718,YouTube,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,T24,1
YouTube::@4S1SL4V1D4,YouTube,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T03,1
YouTube::@87bere,YouTube,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,T12,1
YouTube::@AS-9010,YouTube,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,T07,2
YouTube::@AbrahamarturoMendozaramos,YouTube,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T08,1
YouTube::@AdalidSolano,YouTube,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,T22,1
YouTube::@AlTRe291,YouTube,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,T10,1
YouTube::@AldoantonioRochamar-pm5wz,YouTube,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T07,2
YouTube::@AlejandraRamirez-f9i,YouTube,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
