contexto_id,plataforma,n_mensajes_utiles,n_lemas,lemas
Facebook|https://www.facebook.com/reel/1465361995237860/,Facebook,1,30,monica villarreal anaya mantener area verde impecable fundamental calidad vida tampiqueno encontrar limpieza barrido chapoleo asegurar vegetacion crecer controlado espacio libre residuo maleza unidos tampico verde monica villarreal tampico gob
Facebook|https://www.facebook.com/servpublicostampico/posts/pfbid0sbM9b3MEogyqbfes3KNXE3pWGusJP6GnMNdcNoeZF9bs2935CGpzGDP26hpVuMWMl,Facebook,4,44,espacio digno amigo mascota familia liderazgo presidenta monica villarreal anaya encontrar intensivo mantenimiento area caninos laguna carpintero rehabilitar espacio peludito tampico seguro limpio digno correr jugar administracion bienestar animal prioridad juntos transformar espacio publico rampa bonito parques perrito tampico caerir lindo pequeno opcion arbol
Facebook|https://www.facebook.com/monicavtampico/posts/pfbid07FzktTkkBgdTnEQYV2Hgis4q6TF6Zn1zxXkPZyG8MyFTb9MXmTxtnCT9EnmyvVtjl,Facebook,7,25,sostener reunion seguimiento brindar atencion puntual programa proyecto prioritario beneficiar tampiqueno tampicovacontodo tampicotecuida super tampico cuidar tampico excelente reunion eleccion num monica villarreal programa proyecto
Facebook|https://www.facebook.com/TampicoGob/posts/pfbid0pf6BEKMhKGqeFiCNBLLvmVeYQjf5Kufo7CqR22aGk1GkRhK4gbe8jcNnhVovzYVLl,Facebook,7,58,bailes popular exito reunir familia amigo ambiente lleno alegria musica tradicion gracias respuesta ciudadania seguir baile distinto crear espacio convivencia fortalecer raiz comunidad baile deporte moviliza divertido nino adulto felicidades ecxelente proyecto injusticia tampico pueblo lleno alegria bravo vien seguir baile impotante salud presente adultos querer vien psra vien tampiqueno hora presidenta tampico excelente programa presidentar super activo
Twitter|https://x.com/VoxPopuliNoti/status/2039161483922129063,Twitter,1,18,fortalece monica villarreal coordinacion hoteleros canaco impulsar turismo seguridad alcaldesa dialogar hotelero comerciante impulsar economia local tampico tamaulipas
Twitter|https://x.com/Jaume_Osante/status/2039174827878072750,Twitter,1,11,reforzar alianza tampico hotelero canaco impulsar turismo seguridad tampico revistadebate nota
Twitter|https://x.com/tuespacio_1/status/2039189779988779329,Twitter,1,16,creativo alcaldesa precio final interesar acabar casona medio cuadra par cuadra petrolera resultar promotora turistico jajaja
YouTube|https://www.youtube.com/watch?v=hyet0TeCrkg,YouTube,37,249,mejicano casa limpian ensenar palabra radio formular achaquen prian maroma patrones formula nervioso ocultar origen gubernamental servir principio mentir dano cuando permitiremos seguir destruir mexico poblema gente creer gobierno palero ganar fanatismo capaz leer articulo investigacion loret mola creeria gobierno arrecif danado mentir descaradamente inventar opcion pueblo claudia contorsion maroma circo pista disfruten votado quiebren calderon maroma salir flote ecosidio ahira sen escaldalo puerco ratas chayoteros ido siniestros peores chayoteros alvavan ineficasio delo corruptos goviernos priandejos turno estavan protitutas bendidos ovio tenian ablar vien inepto presidente ecocidio tren faya pasar igualito nefasto pri sirve octagenaria quot ecocidio momumental pregunta ecocidio monumental afectacion coral manglar pez derrames bienestar recuerden chairo mentir mostrar pierna palacio nacional seguro derrame gotitas bienestar pemex barcen contradecir novedad operar narco gobierno ocultar desastre coraje destruir costa veracruz tienenm puras mentira carajo equivocar molesta complicir forma hablar nomas castigar inutil tapar cagada inepto ignorante ratero disfruten votado chairo cabello limpiar chapopote inventos tonto valla daniela romo cuando andir robar diesel huachicol fiscal malo chapopotera satisfacer puedes buscar imagen fecha acumulado aceite mar periodo presentar imagen chapopotera imagen satelital mancha aceite medio nado presidenta deber exigir titular area ambiental pemex asea sener respuesta medio perjudicado alimentar carronero sacar raja politico mienta claudia mienta verguenza mentir morena respirar urgar limpiar desastre gobierno mes medio aparecer senora medio ambiente foto uffff periodico lopez doriga tocar limpiar imagen nahle sabotaje prian pasar derrame generar noticia falso provoco claudiaaaaa responsablee protej robo ilegal crudo inche gobierno delincuente incluir lagartija parado pais
Facebook|https://www.facebook.com/monicavtampico/videos/1604014190672921/,Facebook,5,42,saludar miercoles podcast casa naturaleza accion emprender favor fauna medio ambiente bello escenario gustar totalmente renovado cuidadisimo cuidado naturaleza importante polinizacion educar temprano edad nino garantizar prometedor conservacion recurso natural futuro felicidad lic monica felicidad presidenta tampico cuidar presidenta monica villareal anaya
Facebook|https://www.facebook.com/TampicoGob/posts/pfbid0WYGdtFJEYW7E1kEUnqiNRPp5jEAUBV836akP6nVccgkMdB41mm6XoxrgYtSn2av6l,Facebook,1,1,recorrido
