id_global,tema_id,sub_id,nombre_subtema,resumen_subtema,top_terminos,n_palabras,n_aristas,densidad,peso_total
T35_S02,35,2,"Alto, nivel, municipios, despliegue","Subtema T35.S02 centrado en alto, nivel, municipios, despliegue, lupa.","alto, nivel, municipios, despliegue, lupa",5,7,0.7,135.0
T35_S03,35,3,"Huevo, monterrey, socio, despedir","Subtema T35.S03 centrado en huevo, monterrey, socio, despedir, bolsillo, nuevoleon; conecta tambien nld, conveniente, irresponsable, ocupado, funcionarios.","huevo, monterrey, socio, despedir, bolsillo, nuevoleon, nld, conveniente, irresponsable, ocupado, funcionarios",11,28,0.509,107.0
T35_S04,35,4,"Morenista, imponer, crisis, alos","Subtema T35.S04 centrado en morenista, imponer, crisis, alos, formula, harto; conecta tambien comprender, dividir, militancia, seriedad, amenazado, racista.","morenista, imponer, crisis, alos, formula, harto, comprender, dividir, militancia, seriedad, amenazado, racista",12,45,0.682,95.0
T35_S05,35,5,"Tecnico, heroe, armadas, fuerzas","Subtema T35.S05 centrado en tecnico, heroe, armadas, fuerzas, gol, plantear; conecta tambien cortes, heroina, honorable.","tecnico, heroe, armadas, fuerzas, gol, plantear, cortes, heroina, honorable",9,21,0.583,88.0
T35_S06,35,6,"Resolver, pesimo, vicente, companera","Subtema T35.S06 centrado en resolver, pesimo, vicente, companera, higiene, trabajadores; conecta tambien muneca, coepris, comisionado, despicadora, magdalena, portillo.","resolver, pesimo, vicente, companera, higiene, trabajadores, muneca, coepris, comisionado, despicadora, magdalena, portillo",14,42,0.462,78.0
T35_S07,35,7,"Oro, medalla, entrenadora, rescatado","Subtema T35.S07 centrado en oro, medalla, entrenadora, rescatado, barcelona, invierno.","oro, medalla, entrenadora, rescatado, barcelona, invierno",6,7,0.467,77.0
T35_S08,35,8,"Semana, golpe, declarar, tardar","Subtema T35.S08 centrado en semana, golpe, declarar, tardar, prehospitalario.","semana, golpe, declarar, tardar, prehospitalario",5,9,0.9,64.0
T35_S09,35,9,"Anunciar, competir, liderar, adelantar","Subtema T35.S09 centrado en anunciar, competir, liderar, adelantar, biden, amoroso; conecta tambien destruido.","anunciar, competir, liderar, adelantar, biden, amoroso, destruido",7,13,0.619,38.0
T36_S00,36,0,"Saludo, saludos, bendiga, chingon","Subtema T36.S00 centrado en saludo, saludos, bendiga, chingon, cordial, execelente.","saludo, saludos, bendiga, chingon, cordial, execelente",6,12,0.8,260.0
T36_S01,36,1,"Amlo, obrador, moren, sexenio","Subtema T36.S01 centrado en amlo, obrador, moren, sexenio, mananera, gasolina; conecta tambien honestidad, monto.","amlo, obrador, moren, sexenio, mananera, gasolina, honestidad, monto",8,24,0.857,241.0
T36_S02,36,2,"Encantar, fan, jaja, osea","Subtema T36.S02 centrado en encantar, fan, jaja, osea, depender, zocalo; conecta tambien sentar, letra, tono, mundialista, artificial, edgar.","encantar, fan, jaja, osea, depender, zocalo, sentar, letra, tono, mundialista, artificial, edgar",17,66,0.485,207.0
T36_S03,36,3,"Ratero, asta, enganar, aser","Subtema T36.S03 centrado en ratero, asta, enganar, aser, supuesto, culpable; conecta tambien bote, ilicito, ocultar, samuel.","ratero, asta, enganar, aser, supuesto, culpable, bote, ilicito, ocultar, samuel",10,39,0.867,157.0
T36_S04,36,4,"Deberiar, rico, chino, wow","Subtema T36.S04 centrado en deberiar, rico, chino, wow, barato, vien.","deberiar, rico, chino, wow, barato, vien",6,15,1.0,110.0
T36_S05,36,5,"Viva, sheimbaum, dra, soldado","Subtema T36.S05 centrado en viva, sheimbaum, dra, soldado, bendito, senado; conecta tambien desgaste.","viva, sheimbaum, dra, soldado, bendito, senado, desgaste",7,15,0.714,107.0
T36_S06,36,6,"Mentira, puras, invasion, inventar","Subtema T36.S06 centrado en mentira, puras, invasion, inventar, cuento, adolfo; conecta tambien relato, fatal.","mentira, puras, invasion, inventar, cuento, adolfo, relato, fatal",8,22,0.786,90.0
T36_S07,36,7,"Prian, prianistas, campesino, urge","Subtema T36.S07 centrado en prian, prianistas, campesino, urge, solucionar.","prian, prianistas, campesino, urge, solucionar",5,10,1.0,67.0
