usuario,posicion_id,tema_id,rank_en_posicion,conteo_tema,pct_usuario_en_tema,n_msgs,n_palabras,plataformas,tema_dominante,sub_dominante
Twitter::@PCTamaulipas,T09_P2,9,16,3,12.0,2,25,Twitter,T00,T00_S3
Facebook::Teresa Perez,T09_P2,9,17,3,37.5,2,8,Facebook,T09,T09_S1
YouTube::@RafaelGil2022,T09_P2,9,18,3,23.1,1,13,YouTube,T10,T10_S1
YouTube::@marcoa.d.iglesias3158,T09_P2,9,19,3,20.0,1,15,YouTube,T09,T06_S1
YouTube::@danieladairgonzalez2780,T09_P2,9,20,3,15.8,1,19,YouTube,T12,T12_S0
YouTube::@marisolgarcia7341,T09_P2,9,21,3,15.0,1,20,YouTube,T11,T09_S1
YouTube::@predatorwwe4964,T09_P2,9,22,3,37.5,1,8,YouTube,T09,T11_S5
Twitter::@elsolde_tampico,T10_P1,10,1,33,13.2,26,250,Twitter,T05,T05_S1
Twitter::@DocUbaldo,T10_P1,10,2,26,16.8,36,155,Twitter,T10,T10_S3
Twitter::@mariolealmx,T10_P1,10,3,16,22.9,8,70,Twitter,T10,T10_S0
Twitter::@TampicososTV,T10_P1,10,4,13,26.0,5,50,Twitter,T10,T10_S5
Twitter::@ailoviutl,T10_P1,10,5,13,52.0,1,25,Twitter,T10,T10_S0
Twitter::@gdlyuridia,T10_P1,10,6,12,60.0,3,20,Twitter,T10,T10_S0
Twitter::@larazontampico,T10_P1,10,7,9,12.9,6,70,Twitter,T02,T14_S2
Twitter::@OMAeropuertos,T10_P1,10,8,9,60.0,1,15,Twitter,T10,T10_S0
Facebook::Artur Montejano Perez,T10_P1,10,9,8,36.4,11,22,Facebook,T08,T08_S0
YouTube::@JoseLuis-jk9nh,T10_P1,10,10,7,41.2,1,17,YouTube,T10,T10_S5
YouTube::@rebeckacampbell2782,T10_P1,10,11,6,27.3,1,22,YouTube,T10,T09_S4
Twitter::@TVAztecaSLP,T10_P1,10,12,6,35.3,2,17,Twitter,T10,T10_S1
Twitter::@TELMEXSoluciona,T10_P1,10,13,6,13.0,4,46,Twitter,T04,T04_S3
Twitter::@SamsClubMexico,T10_P1,10,14,6,42.9,1,14,Twitter,T10,T10_S0
Twitter::@Garcimonero,T10_P1,10,15,5,13.9,1,36,Twitter,T12,T12_S2
Facebook::Chucho Mendez C,T10_P1,10,16,5,83.3,2,6,Facebook,T10,T10_S1
Facebook::Luz Ibon Mendez,T10_P1,10,17,5,15.6,1,32,Facebook,T07,T11_S3
Facebook::Karla Lopez Rivera,T10_P1,10,18,5,38.5,4,13,Facebook,T02,T02_S3
Twitter::@Ticketmaster_Me,T10_P1,10,19,5,71.4,1,7,Twitter,T10,T10_S1
Twitter::@MCCCANM,T10_P1,10,20,5,62.5,1,8,Twitter,T10,T10_S5
YouTube::@ulisesrodriguezortiz9045,T10_P1,10,21,5,71.4,1,7,YouTube,T10,T10_S4
YouTube::@rosapina8807,T10_P1,10,22,4,25.0,1,16,YouTube,T10,T10_S2
Facebook::Rafa Puga,T10_P1,10,23,4,26.7,1,15,Facebook,T10,T10_S0
Twitter::@ConsEspMty,T10_P1,10,24,4,12.5,3,32,Twitter,T00,T03_S0
Twitter::@PeriodicoQuequi,T10_P1,10,25,4,16.0,2,25,Twitter,T14,T10_S0
YouTube::@JuanFregozo-q1i,T10_P1,10,26,4,57.1,1,7,YouTube,T10,T10_S3
YouTube::@AliciaIsabelManrique,T10_P1,10,27,4,80.0,1,5,YouTube,T10,T10_S3
YouTube::@GeritaCabron,T10_P1,10,28,4,57.1,1,7,YouTube,T10,T10_S4
YouTube::@Ivette_Moctezuma,T10_P1,10,29,4,22.2,1,18,YouTube,T10,T13_S3
Twitter::@Quadratin_Mor,T10_P1,10,30,4,25.0,2,16,Twitter,T06,T06_S1
Twitter::@defensoriaifdp,T10_P1,10,31,4,30.8,1,13,Twitter,T10,T01_S0
Twitter::@andyisandrea,T10_P1,10,32,4,66.7,2,6,Twitter,T10,T10_S0
YouTube::@agapibetyvelazquezvalassi6641,T10_P1,10,33,4,28.6,2,14,YouTube,T10,T10_S3
Twitter::@Lacho_Serr,T10_P1,10,34,4,66.7,1,6,Twitter,T10,T10_S1
YouTube::@CarlosJimenez-kw6fb,T10_P1,10,35,4,19.0,1,21,YouTube,T11,T10_S0
YouTube::@AlexMartinez-x2x,T10_P1,10,36,4,25.0,1,16,YouTube,T11,T11_S0
Facebook::Carmen Rojas,T10_P1,10,37,3,20.0,3,15,Facebook,T03,T03_S0
Twitter::@RafaelG95065276,T10_P1,10,38,3,20.0,1,15,Twitter,T10,T10_S1
Twitter::@LiizieT,T10_P1,10,39,3,23.1,1,13,Twitter,T10,T10_S0
Twitter::@C_CulturaUNAM,T10_P1,10,40,3,13.0,2,23,Twitter,T06,T06_S1
