palabra,tema_id,sub_id,rol,participation,z_within_degree,grado_total
morena,2,1,conector_provincial,0.7698,2.5238,41
info,2,0,periferico,0.0,-0.8732,5
america,2,2,periferico,0.4592,0.4361,14
toluca,2,4,periferico,0.4082,-0.3235,7
ríobravo,2,0,periferico,0.32,-0.1364,10
estrategia,2,1,broker,0.5714,-0.5839,7
manuel,2,3,periferico,0.4062,0.248,8
juego,2,2,periferico,0.3905,0.4361,13
reglas,2,2,broker,0.5625,-0.6189,8
ligamx,2,4,broker,0.56,-1.4018,5
pedir,2,1,broker,0.62,-0.3014,10
love,2,5,periferico,0.0,-1.1217,1
one,2,5,periferico,0.0,-0.7276,2
pri,2,1,broker,0.7692,-0.3014,13
josué,2,-1,periferico,0.375,-0.69,4
mundo,2,1,broker,0.8267,-0.5839,15
convencido,2,-1,broker,0.75,0.6612,4
entrar,2,2,broker,0.7337,-0.8299,13
león,2,4,broker,0.625,-0.8627,8
federal,2,1,broker,0.6759,0.8287,19
nld,2,0,broker,0.5,-1.1188,6
cuál,2,5,broker,0.64,-0.7276,5
sanción,2,2,broker,0.5625,-0.6189,8
renovación,2,-1,periferico,0.0,-0.69,2
robar,2,1,broker,0.58,-0.0188,10
criminal,2,1,periferico,0.4898,-0.5839,7
final,2,2,broker,0.8047,0.0141,26
gomez,2,-1,periferico,0.0,-0.69,4
proteger,2,1,broker,0.6049,1.1112,18
elmante,2,0,periferico,0.4688,-0.8732,8
amor,2,1,broker,0.6111,-0.8664,6
fan,2,-1,broker,0.5,-0.69,2
favor,2,2,broker,0.716,-0.4079,18
doble,2,5,periferico,0.32,0.0606,5
pase,2,5,periferico,0.32,0.0606,5
funcionario,2,1,broker,0.64,-0.3014,10
atrás,2,-1,broker,0.64,-0.69,5
terminar,2,2,broker,0.76,-1.0409,10
llegar,2,1,broker,0.7872,1.1112,29
traer,2,1,broker,0.78,-1.1489,10
empezar,2,1,broker,0.5,-0.5839,6
puro,2,3,broker,0.7474,0.248,17
reportar,2,0,broker,0.6111,-1.3644,6
ladrón,2,-1,periferico,0.4444,-0.69,3
morén,2,1,broker,0.5455,0.2637,11
liga,2,2,periferico,0.3673,0.6471,14
elpuntoes,2,-1,broker,0.56,0.6612,5
cocodrilo,2,0,periferico,0.0,-1.8555,1
encontrar,2,3,broker,0.7901,-1.0984,9
concierto,2,5,periferico,0.2778,0.4548,6
canción,2,5,periferico,0.0,0.4548,5
mexicana,2,1,broker,0.6173,-0.3014,9
sol,2,1,broker,0.7188,-1.1489,8
acudir,2,-1,broker,0.72,-0.69,5
par,2,-1,periferico,0.32,-0.69,5
robo,2,2,broker,0.6667,-0.4079,12
prueba,2,3,broker,0.625,-1.0984,4
ignorante,2,-1,broker,0.64,2.0124,5
trump,2,1,broker,0.7188,-0.0188,16
excelente,2,1,broker,0.8356,-1.1489,15
crear,2,1,broker,0.5926,-0.3014,9
atacar,2,-1,periferico,0.32,-0.69,5
like,2,5,periferico,0.4444,-0.7276,3
menor,2,-1,broker,0.6667,0.6612,3
padre,2,1,broker,0.716,-0.8664,9
negocio,2,2,broker,0.64,-0.6189,10
saludos,2,1,broker,0.7,-0.5839,10
marcar,2,2,periferico,0.449,-0.6189,7
problema,2,2,broker,0.56,-1.0409,5
lesionado,2,2,periferico,0.0,-0.8299,4
fmf,2,2,broker,0.7438,-0.8299,11
bola,2,-1,periferico,0.375,0.6612,4
diputado,2,-1,broker,0.716,0.6612,9
gracia,2,1,broker,0.6122,-0.5839,7
estadio,2,5,broker,0.7812,-0.7276,8
abrazo,2,-1,periferico,0.0,-0.69,3
esperanza,2,-1,periferico,0.0,-0.69,2
alcanzar,2,-1,periferico,0.4444,0.6612,3
valer,2,2,broker,0.716,-0.8299,9
alguien,2,2,broker,0.6446,-0.4079,11
golfo,2,-1,periferico,0.0,-0.69,1
allá,2,-1,broker,0.64,2.0124,5
personaje,2,-1,periferico,0.0,-0.69,2
ratero,2,-1,broker,0.625,0.6612,4
pais,2,3,broker,0.5,-1.435,2
julio,2,-1,broker,0.5,-0.69,2
revés,2,2,periferico,0.2188,-0.1969,8
vuelta,2,-1,broker,0.56,-0.69,5
dueño,2,-1,periferico,0.0,-0.69,4
camioneta,2,-1,periferico,0.0,-0.69,1
inicio,2,-1,broker,0.6111,-0.69,6
tendencia,2,-1,periferico,0.4444,-0.69,3
noticia,2,-1,broker,0.625,2.0124,4
resaltar,2,-1,periferico,0.0,-0.69,1
artista,2,5,periferico,0.0,-0.7276,2
interesante,2,-1,periferico,0.0,0.6612,1
loco,2,-1,broker,0.7222,2.0124,6
desaparecer,2,-1,broker,0.625,0.6612,4
mero,2,3,periferico,0.48,-0.7618,5
pemex,2,4,periferico,0.375,-1.4018,4
pinche,2,-1,conector_provincial,0.7188,3.3635,8
eeuu,2,-1,periferico,0.0,-0.69,1
resultar,2,2,periferico,0.375,-1.0409,4
acá,2,-1,periferico,0.0,-0.69,1
niñez,2,-1,periferico,0.375,0.6612,4
investigar,2,-1,broker,0.5,0.6612,2
mexicanos,2,-1,periferico,0.0,-0.69,1
mierda,2,3,broker,0.5,-1.435,2
notar,2,3,periferico,0.0,-1.0984,2
básico,2,-1,periferico,0.0,0.6612,1
festejo,2,-1,broker,0.5,0.6612,2
importar,2,2,broker,0.6667,-1.0409,6
manejar,2,2,periferico,0.449,-0.6189,7
sopa,2,-1,periferico,0.0,-0.69,1
quejar,2,-1,periferico,0.4444,-0.69,3
base,2,-1,periferico,0.4444,-0.69,3
sufrir,2,-1,periferico,0.4444,-0.69,3
completar,2,-1,periferico,0.0,-0.69,1
animalito,2,-1,periferico,0.0,-0.69,1
ciudad,4,4,broker,0.8418,2.2146,129
tampico,4,0,conector_provincial,0.8934,4.6767,257
nota,4,0,broker,0.7969,-0.4878,16
revistadebate,4,0,broker,0.6122,-0.0574,14
protección,4,3,broker,0.775,1.8265,40
civil,4,3,broker,0.7715,2.4759,38
impulsar,4,1,broker,0.8002,2.0826,76
sector,4,4,broker,0.7995,0.9966,41
vivir,4,2,broker,0.8056,1.0234,48
tampiqueño,4,1,broker,0.7663,2.279,58
abril,4,0,broker,0.7976,0.8034,34
mayo,4,0,broker,0.8258,0.1578,27
turístico,4,0,broker,0.78,0.1578,29
agua,4,0,broker,0.8044,0.373,30
desarrollo,4,1,broker,0.7799,1.8861,61
lluvia,4,0,broker,0.7108,0.5882,23
turismo,4,0,broker,0.8086,0.8034,36
prevención,4,1,broker,0.8166,-0.2751,39
social,4,1,broker,0.8131,-0.2751,34
bomberos,4,3,broker,0.7347,0.2029,14
recorrido,4,0,broker,0.8285,-0.4878,27
distinto,4,4,broker,0.802,0.1846,37
internacional,4,5,broker,0.8014,1.6514,29
destacar,4,0,broker,0.8047,0.1578,26
oportunidad,4,1,broker,0.7637,0.5108,40
semana,4,0,broker,0.8133,0.373,36
cuida,4,3,broker,0.62,-0.1218,10
actividad,4,2,broker,0.8037,1.9399,63
historia,4,2,broker,0.7997,1.2525,49
importante,4,1,broker,0.8204,1.2967,70
deportivo,4,1,broker,0.7847,0.7073,48
reconocer,4,5,broker,0.8,1.2386,35
disfrutar,4,2,broker,0.7705,2.3981,51
celebrar,4,5,broker,0.7657,0.8257,35
participación,4,1,broker,0.7831,-0.2751,37
plaza,4,2,broker,0.7956,-0.1222,27
orgullo,4,1,broker,0.7619,0.7073,42
local,4,2,broker,0.8012,-0.3513,31
ambiente,4,5,broker,0.7929,0.0,31
medio,4,5,broker,0.8209,0.8257,33
abrir,4,0,broker,0.7654,-0.7029,18
deporte,4,1,broker,0.7679,0.5108,39
comunidad,4,1,broker,0.782,-0.0786,35
avanzar,4,1,broker,0.7755,-0.8645,21
urbano,4,4,broker,0.8027,0.1846,21
económico,4,1,broker,0.7245,-0.668,28
expo,4,0,broker,0.7449,-0.7029,14
temporada,4,0,broker,0.7644,-0.2726,15
sistema,4,0,broker,0.6925,0.373,19
talento,4,1,broker,0.7309,1.2967,45
contar,4,3,broker,0.7811,-0.1218,26
estatal,4,3,broker,0.755,-0.4465,20
lleno,4,2,broker,0.7881,0.7943,38
invitar,4,2,broker,0.6916,2.3981,42
torneo,4,5,broker,0.7599,0.8257,27
nivel,4,5,broker,0.7899,0.8257,26
grupo,4,0,broker,0.6777,-1.1333,11
medalla,4,1,broker,0.6983,-0.2751,22
proteccionciviltampico,4,3,periferico,0.0,-0.1218,5
tampicosomostodos,4,3,periferico,0.0,-0.4465,4
bomberostampico,4,3,periferico,0.0,-0.7712,3
alto,4,5,broker,0.7917,0.0,24
deportiva,4,4,broker,0.7769,-1.0335,11
pesos,4,0,broker,0.6914,-0.7029,9
tarde,4,2,broker,0.73,-0.1222,20
región,4,1,broker,0.7985,-0.8645,28
mercado,4,2,broker,0.7368,-0.3513,19
cultural,4,2,broker,0.8117,0.1069,36
